LB,Zone A,Zone B,Zone C,Zone D,Zone E,Zone F,Zone G,Zone H,Zone I,Zone J,Zone K,Zone L,Zone M,Zone N
1,34.3,34.3,44.62,53.03,72.39,42.12,44.68,40.52,48.15,75.04,41.64,56.55,46.98,77.6
2,38.28,38.87,52.42,62.39,84.14,49.39,51.72,48.17,56.66,80.38,47.66,69.06,56.58,93.11
3,42.2,45.73,60.61,69.21,96.08,57.49,58.27,56.04,65.59,85.71,54.88,82.09,65.25,108.63
4,46.38,49.95,69.53,76.8,110.36,65.69,63.51,63.56,74.52,97.9,62.04,95.87,74.85,123.83
5,50.12,55.58,79.36,81.87,122.7,78.29,74.69,70.92,81.52,107.28,63.37,108.45,83.79,139.06
6,51.15,60.96,82.49,88.19,131.59,82.53,81.89,77.28,89.29,119.7,67.03,121.79,90.13,148.66
7,52.77,66.33,87.17,96.46,140.62,86.7,87.77,83.81,97.13,131.2,69.77,134.49,97.22,158.26
8,55.28,71.71,91.8,102.69,148.11,90.86,93.58,88.92,105.04,143.96,72.55,147.18,104.01,167.74
9,57.3,75.23,93.76,108.92,155.65,91.53,98.86,92.41,112.84,158.6,75.36,159.33,110.66,177.16
10,59.47,76.36,95.33,110.76,160.31,94.64,102.6,95.65,118.34,173.08,78.14,168.35,115.1,186.61
11,62.42,79.61,100.07,117.23,172.84,99.24,109.7,100.15,125.93,187.77,82.52,179.82,122.48,199.59
12,65.37,82.86,104.81,123.7,185.37,103.84,116.8,104.65,133.52,202.46,86.9,191.29,129.86,212.57
13,68.32,86.11,109.55,130.17,197.9,108.44,123.9,109.15,141.11,217.15,91.28,202.76,137.24,225.55
14,71.27,89.36,114.29,136.64,210.43,113.04,131,113.65,148.7,231.84,95.66,214.23,144.62,238.53
15,74.22,92.61,119.03,143.11,222.96,117.64,138.1,118.15,156.29,246.53,100.04,225.7,152,251.51
16,77.17,95.86,123.77,149.58,235.49,122.24,145.2,122.65,163.88,261.22,104.42,237.17,159.38,264.49
17,80.12,99.11,128.51,156.05,248.02,126.84,152.3,127.15,171.47,275.91,108.8,248.64,166.76,277.47
18,83.07,102.36,133.25,162.52,260.55,131.44,159.4,131.65,179.06,290.6,113.18,260.11,174.14,290.45
19,86.02,105.61,137.99,168.99,273.08,136.04,166.5,136.15,186.65,305.29,117.56,271.58,181.52,303.43
20,88.97,108.86,142.73,175.46,285.61,140.64,173.6,140.65,194.24,319.98,121.94,283.05,188.9,316.41
21,91.48,111.36,147.69,180.43,295.22,145.4,179.46,145.05,200.56,328.9,125.52,291.23,195.23,327.08
22,93.99,113.86,152.65,185.4,304.83,150.16,185.32,149.45,206.88,337.82,129.1,299.41,201.56,337.75
23,96.5,116.36,157.61,190.37,314.44,154.92,191.18,153.85,213.2,346.74,132.68,307.59,207.89,348.42
24,99.01,118.86,162.57,195.34,324.05,159.68,197.04,158.25,219.52,355.66,136.26,315.77,214.22,359.09
25,101.52,121.36,167.53,200.31,333.66,164.44,202.9,162.65,225.84,364.58,139.84,323.95,220.55,369.76
26,104.03,123.86,172.49,205.28,343.27,169.2,208.76,167.05,232.16,373.5,143.42,332.13,226.88,380.43
27,106.54,126.36,177.45,210.25,352.88,173.96,214.62,171.45,238.48,382.42,147,340.31,233.21,391.1
28,109.05,128.86,182.41,215.22,362.49,178.72,220.48,175.85,244.8,391.34,150.58,348.49,239.54,401.77
29,111.56,131.36,187.37,220.19,372.1,183.48,226.34,180.25,251.12,400.26,154.16,356.67,245.87,412.44
30,114.07,133.86,192.33,225.16,381.71,188.24,232.2,184.65,257.44,409.18,157.74,364.85,252.2,423.11
31,116.58,136.36,197.29,230.13,391.32,193,238.06,189.05,263.76,418.1,161.32,373.03,258.53,433.78
